code,system
0212000AAAAAEAE,bnf
0212000AAAAABAB,bnf
0212000AAAAAAAA,bnf
0212000ABBFAAAA,bnf
0212000ABBCAAAA,bnf
0212000ABBHAAAA,bnf
0212000ABBJAAAA,bnf
0212000P0AAAEAE,bnf
0212000P0AAACAC,bnf
0212000P0AAADAD,bnf
0212000P0AAABAB,bnf
0212000ABBGAAAA,bnf
0212000ABBIAAAA,bnf
0212000ABBEAAAA,bnf
0212000K0AAACAC,bnf
0212000K0AAAAAA,bnf
0212000B0AAAMAM,bnf
0212000B0BBAFAM,bnf
0212000B0BBAEAL,bnf
0212000B0AAALAL,bnf
0212000M0BCAAAD,bnf
0212000M0BDAAAD,bnf
0212000B0BBADAD,bnf
0212000ACAAACAC,bnf
0212000M0AAADAD,bnf
0212000B0AAADAD,bnf
0212000M0BEAAAD,bnf
0212000M0AAAEAE,bnf
0212000M0BHAAAD,bnf
0212000Y0BDADAH,bnf
0212000M0BGAAAD,bnf
0212000Y0BBADAH,bnf
0212000AKBBAAAA,bnf
0212000Y0AAAHAH,bnf
0212000B0AAAIAI,bnf
0212000ALBBAAAA,bnf
0212000M0BFAAAD,bnf
0212000Y0BEACAD,bnf
0212000Y0BEABAB,bnf
0212000Y0BEAAAA,bnf
0212000L0AAAAAA,bnf
0212000ACAAAAAA,bnf
0212000C0BBAEAE,bnf
0212000C0BBACAC,bnf
0212000C0BBAAAA,bnf
0212000C0BBADAD,bnf
0212000P0BBADAD,bnf
0212000C0BBABAB,bnf
0212000C0AAABAB,bnf
0212000P0BBABAB,bnf
0212000C0AAACAC,bnf
0212000C0AAADAD,bnf
0212000C0AAAAAA,bnf
0212000C0AAAEAE,bnf
0212000P0BBACAC,bnf
0212000AFAAABAB,bnf
0212000AFAAACAC,bnf
0212000M0AAABAB,bnf
0212000Y0AAALAL,bnf
0212000Y0BBACAD,bnf
0212000Y0AAADAD,bnf
0212000X0AAADAD,bnf
0212000Y0AAAMAM,bnf
0212000ACAAABAB,bnf
0212000X0AAAHAH,bnf
0212000B0AAACAC,bnf
0212000AAAAACAC,bnf
0212000B0BBACAC,bnf
0212000B0AAAGAG,bnf
0212000ACBBABAB,bnf
0212000ACBBAAAA,bnf
0212000ACBBACAC,bnf
0212000M0BBAAAA,bnf
0212000M0BBACAD,bnf
0212000M0BBABAB,bnf
0212000Y0BFAAAA,bnf
0212000L0BBAAAA,bnf
0212000B0AAANAN,bnf
0212000Q0BBAAAA,bnf
0212000Q0AAAAAA,bnf
0212000AHAAABAB,bnf
0212000Y0AAAKAK,bnf
0212000X0AAALAL,bnf
0212000Y0AAABAB,bnf
0212000B0AAABAB,bnf
0212000P0BDAAAF,bnf
0212000X0AAABAB,bnf
0212000B0AAAQAQ,bnf
0212000P0AAAFAF,bnf
0212000B0BBABAB,bnf
0212000Y0AAAGAG,bnf
0212000AEAAAAAA,bnf
0212000AEBBAAAA,bnf
0212000F0AAABAB,bnf
0212000F0AAAGAG,bnf
0212000F0AAAEAE,bnf
0212000AFBBABAB,bnf
0212000AFBBACAC,bnf
0212000V0AAABAB,bnf
0212000V0AAAAAA,bnf
0212000AJAAAAAA,bnf
0212000AJAAABAB,bnf
0212000U0AAAVAV,bnf
0212000U0BFAAAV,bnf
0212000U0AAAZAZ,bnf
0212000AABBACAC,bnf
0212000AABBABAB,bnf
0212000AABBAAAA,bnf
0212000ADBBAAAA,bnf
0212000AFBBAAAA,bnf
0212000AABBADAD,bnf
0212000AAAAADAD,bnf
0212000Y0AAAPAP,bnf
0212000X0AAAKAK,bnf
0212000ADAAAAAA,bnf
0212000AFAAAAAA,bnf
0212000X0AAAMAM,bnf
0212000D0BBABAB,bnf
0212000D0BBAAAA,bnf
0212000K0BBABAA,bnf
0212000K0BBAAAA,bnf
0212000D0BDAAAB,bnf
0212000D0AAACAC,bnf
0212000D0AAAAAA,bnf
0212000D0AAABAB,bnf
0212000Y0BBAEAA,bnf
0212000Y0BBAAAA,bnf
0212000Y0BBABAB,bnf
0212000AIAAABAB,bnf
0212000Y0BDABAB,bnf
0212000Y0BDAAAA,bnf
0212000Y0BDACAD,bnf
0212000X0BBAAAA,bnf
0212000X0BBACAD,bnf
0212000X0BBABAB,bnf
0212000B0AAAAAA,bnf
0212000AIBBAAAA,bnf
0212000AIBBABAB,bnf
0212000Y0AAAAAA,bnf
0212000U0AAAYAY,bnf
0212000U0BFADAY,bnf
0212000ALAAAAAA,bnf
0212000AKAAAAAA,bnf
0212000Q0AAABAB,bnf
0212000B0AAAPAP,bnf
0212000V0BBAAAA,bnf
0212000V0BBABAB,bnf
0212000AJBBABAB,bnf
0212000AJBBAAAA,bnf
0212000D0BCAAAB,bnf
0212000D0BEAAAB,bnf
0212000D0BFAAAB,bnf
0212000P0BCAAAE,bnf
0212000P0AAAGAG,bnf
0212000F0BBACAE,bnf
0212000F0BBAAAB,bnf
0212000AIAAAAAA,bnf
0212000U0BFABAW,bnf
0212000U0AAAWAW,bnf
0212000U0AAATAT,bnf
0212000U0AAABAB,bnf
0212000B0BBAAAA,bnf
0212000M0AAAAAA,bnf
0212000Q0BBABAB,bnf
0212000B0AAAHAH,bnf
0212000B0AAAFAF,bnf
0212000AGBBAAAA,bnf
0212000AGAAAAAA,bnf
0212000K0BBACAC,bnf
0212000U0AAAXAX,bnf
0212000ABBBAAAA,bnf
0212000ABBDAAAA,bnf
0212000AHAAAAAA,bnf
0212000Y0AAAFAF,bnf
0212000U0BFACAX,bnf
0212000AHBBAAAA,bnf
0212000AHBBABAB,bnf
0212000ABAAAAAA,bnf
0212000X0AAAAAA,bnf